trip_scope,trip_type,min_budget,max_budget,group_type,travel_month,recommended_destination
Domestic,"Nature,Relaxation",10017,29778,"Family,Friends","October,June,April",Ooty
International,"Adventure,Wildlife",175723,411334,"Family,Couple",August,Canada
Domestic,"Nature,Adventure,Wildlife",21643,60787,Couple,"November,December",Jim Corbett
International,"Nature,Cultural,Adventure",153321,405455,"Couple,Friends","December,July",Norway
Domestic,"Nature,Adventure,Wildlife",14788,42230,"Solo,Family","December,January,February",Sundarbans
Domestic,Nature,15368,39994,Solo,"December,October,January",Manali
International,"Relaxation,Cultural",109410,231322,Solo,"October,April",Portugal
International,Nature,47428,115995,Family,"December,July",Malaysia
International,"Luxury,Relaxation",58058,158551,"Friends,Solo","June,July,April",Bali
International,Cultural,63012,149046,Solo,August,Bali
International,"Pilgrimage,Adventure,Nature",21336,59041,Solo,"November,October",Nepal
International,Adventure,108539,277270,Solo,"January,February",Mexico
International,"Nature,Wildlife",133349,349773,"Family,Couple",August,Kenya
International,"Nature,Adventure,Pilgrimage",20305,60451,Solo,"November,March",Nepal
International,"Cultural,Pilgrimage,Adventure",84156,180687,Friends,"April,October,November",Bhutan
International,Nature,39779,95546,"Couple,Family",December,Sri Lanka
International,"Adventure,Nature,Cultural,Beach",55621,146646,"Couple,Friends","February,April",Philippines
Domestic,"Cultural,Adventure",13339,36471,Solo,"November,February,January",Meghalaya
International,Cultural,58192,146202,"Friends,Solo",December,Philippines
Domestic,Adventure,22027,59552,Solo,"August,July",Ladakh
Domestic,Luxury,16385,53227,Couple,"March,November",Jaipur
International,Relaxation,51496,133633,Couple,May,Bali
International,"Luxury,Beach",60816,146816,"Couple,Friends","August,May,June",Bali
International,"Pilgrimage,Adventure",20236,60344,"Couple,Friends","April,November",Nepal
International,"Luxury,Nature",70341,194094,Friends,"March,February,August",Singapore
International,"Pilgrimage,Nature,Adventure",21388,62702,Solo,"November,March",Nepal
International,"Wildlife,Nature,Adventure",159062,406488,Friends,"February,January,March",New Zealand
Domestic,Cultural,14475,35923,Family,October,Darjeeling
International,Adventure,144025,372983,Family,"December,June",Switzerland
International,Relaxation,100438,243701,Friends,July,Mauritius
International,"Nature,Luxury",125477,311244,Friends,May,Italy
Domestic,"Pilgrimage,Adventure",9472,30816,"Solo,Friends","September,February",Rishikesh
International,"Nature,Cultural,Luxury",64126,169561,"Family,Friends","March,February",Singapore
International,"Wildlife,Nature,Cultural",119305,291447,Friends,September,Peru
International,"Nature,Adventure,Wildlife",219288,467896,"Couple,Family","September,December,June",Canada
International,Beach,105093,279740,"Couple,Family","October,May",Greece
International,"Adventure,Relaxation",48704,115338,"Solo,Friends",March,Thailand
International,"Pilgrimage,Adventure",68239,160681,Couple,"March,November,October",Bhutan
Domestic,"Cultural,Pilgrimage",8362,19968,Solo,January,Mathura Vrindavan
International,"Cultural,Adventure",75464,169187,Friends,"September,March,April",Morocco
Domestic,Adventure,10417,29255,"Couple,Solo","March,September,April",Rishikesh
International,"Adventure,Pilgrimage,Cultural",80260,192849,Solo,"March,May",Bhutan
International,Adventure,43126,120356,Family,"January,February",Thailand
International,Adventure,95190,212327,Solo,September,Jordan
International,"Luxury,Nature,Adventure",145572,412053,"Friends,Couple","August,January",Switzerland
International,Wildlife,35065,95456,Friends,"March,February",Sri Lanka
International,Adventure,74023,165186,"Couple,Solo","October,April,September",Morocco
International,Nature,55795,156557,Solo,January,Philippines
International,"Wildlife,Cultural,Nature",39495,104387,"Friends,Family","December,April,March",Sri Lanka
Domestic,"Nature,Adventure,Cultural",21134,51998,"Friends,Solo",September,Spiti Valley
International,"Beach,Adventure",70138,169685,"Friends,Solo","September,March",Morocco
Domestic,"Nature,Adventure,Beach",31221,70993,"Family,Friends","December,February",Andaman Islands
Domestic,"Nature,Wildlife",17694,51828,Solo,"December,February,April",Kaziranga
Domestic,"Cultural,Relaxation,Beach",9104,27716,Friends,"February,October,December",Pondicherry
International,"Cultural,Beach",69646,180524,"Family,Couple","December,January,February",Dubai
International,"Relaxation,Beach",99406,287327,Friends,"December,April",Maldives
International,"Luxury,Nature",102165,271709,"Couple,Solo",October,Japan
Domestic,"Cultural,Nature",10368,25207,"Friends,Solo","January,December,February",Hampi
Domestic,"Cultural,Pilgrimage",9177,28434,"Solo,Couple","March,January",Varanasi
Domestic,"Nature,Adventure,Cultural",13202,32993,Friends,"May,September",Ziro Valley
Domestic,"Nature,Relaxation",14239,35949,"Solo,Couple","October,May,March",Darjeeling
Domestic,"Adventure,Luxury",20386,87928,Family,"March,January",Rajasthan
Domestic,Pilgrimage,10346,29728,"Family,Couple",November,Varanasi
Domestic,"Wildlife,Nature,Adventure",13895,37539,Family,October,Sundarbans
International,"Luxury,Relaxation,Cultural",55532,148246,"Friends,Solo",July,Bali
International,"Cultural,Nature",61850,181006,"Family,Friends","July,April,March",Singapore
International,"Pilgrimage,Cultural,Adventure",93235,207281,Friends,"May,March",Jordan
Domestic,"Relaxation,Cultural",14664,33234,Family,March,Darjeeling
Domestic,"Nature,Adventure,Cultural",23311,60880,"Friends,Couple","June,September",Ladakh
Domestic,"Adventure,Nature,Cultural",10317,27235,"Solo,Friends","January,October",Hampi
Domestic,"Adventure,Cultural,Nature",9303,23103,Friends,"November,February,December",Hampi
Domestic,"Cultural,Relaxation",18978,61694,"Couple,Family",November,Kerala
International,"Cultural,Nature",43756,99058,Couple,December,Sri Lanka
Domestic,"Relaxation,Beach",9796,30600,"Solo,Friends","March,October,November",Pondicherry
Domestic,Wildlife,18583,55648,"Family,Friends","January,April,February",Jim Corbett
International,"Nature,Adventure",195710,406117,"Solo,Couple","June,December",Iceland
Domestic,"Nature,Pilgrimage,Adventure",9992,23601,"Friends,Solo",June,Chopta
Domestic,"Nature,Cultural,Relaxation",13709,32576,Couple,April,Darjeeling
International,Cultural,63205,187109,"Friends,Family","March,April",Singapore
International,"Nature,Wildlife",35380,102337,"Couple,Friends","February,March,April",Sri Lanka
Domestic,"Nature,Relaxation,Adventure",12015,35597,Couple,"December,April,May",Shimla
International,Beach,91388,229749,Family,December,Mexico
Domestic,Nature,14082,40770,"Solo,Couple",December,Manali
International,Adventure,166650,405658,"Solo,Friends","November,January",Iceland
International,Cultural,39083,104874,"Friends,Family",January,Sri Lanka
Domestic,Pilgrimage,7530,20378,"Solo,Family","December,November",Mathura Vrindavan
Domestic,"Cultural,Pilgrimage",9501,27871,Solo,"October,March",Varanasi
International,"Nature,Luxury,Relaxation,Beach",147311,398686,"Friends,Couple","November,April,October",Seychelles
Domestic,"Adventure,Nature",14054,41838,"Solo,Family","December,January,September",Sundarbans
Domestic,"Nature,Relaxation,Adventure",11285,34069,"Family,Friends","December,October,November",Shimla
International,"Adventure,Cultural",37926,90994,"Solo,Friends",March,Cambodia
Domestic,Nature,15773,43959,"Family,Couple",February,Rann of Kutch
Domestic,Relaxation,10064,25166,"Couple,Family","January,February,October",Mysuru
Domestic,"Adventure,Nature",17039,45544,"Couple,Solo",March,Auli
International,Adventure,141125,369517,"Friends,Couple","August,June,February",Switzerland
Domestic,"Nature,Cultural",15410,35498,Family,"September,October,November",Darjeeling
International,"Luxury,Beach,Relaxation,Cultural",103727,239812,"Friends,Solo",September,Spain
International,"Adventure,Nature,Beach",54830,124903,Couple,July,Malaysia
International,"Cultural,Adventure",34393,84195,"Couple,Solo",March,Cambodia
International,Wildlife,155697,374210,"Friends,Couple","September,June,August",Tanzania
International,"Relaxation,Luxury,Beach",143648,407245,Couple,October,Seychelles
Domestic,Luxury,19181,87944,"Family,Friends","January,December,February",Rajasthan
International,"Nature,Adventure,Beach",61703,159974,Friends,August,Indonesia
Domestic,"Nature,Relaxation",9634,30986,Friends,October,Ooty
International,Wildlife,114210,292496,Couple,April,Peru
Domestic,"Nature,Adventure",10157,28576,"Solo,Couple","October,November",Rishikesh
Domestic,"Wildlife,Adventure,Nature",13664,37254,Solo,February,Sundarbans
Domestic,"Pilgrimage,Cultural",7520,23170,"Family,Solo",November,Tirupati
International,"Beach,Luxury,Cultural",69464,182803,Couple,"January,November,February",Dubai
Domestic,"Nature,Cultural",19115,64688,"Couple,Family","December,November",Kerala
Domestic,Pilgrimage,8346,26846,"Solo,Couple",September,Tirupati
International,"Relaxation,Cultural,Luxury",56587,150952,"Solo,Friends","April,September,May",Bali
International,"Beach,Cultural,Relaxation,Luxury",65825,161238,"Solo,Couple","April,June",Bali
Domestic,"Pilgrimage,Adventure,Nature",10066,29438,"Friends,Solo","April,October,September",Rishikesh
Domestic,"Nature,Cultural,Adventure",13729,36883,Friends,"October,December",Meghalaya
International,"Nature,Luxury",132418,375755,"Couple,Friends","October,November,May",Seychelles
International,"Relaxation,Beach,Cultural,Adventure",102680,259129,Solo,"January,November,December",Mexico
International,"Wildlife,Cultural",205786,461251,Solo,"July,August",Canada
Domestic,Nature,13109,38064,"Couple,Solo","December,March,November",Meghalaya
Domestic,Pilgrimage,7680,26050,Couple,"January,October,February",Tirupati
Domestic,"Cultural,Beach,Relaxation",16145,55166,Friends,"November,December,March",Goa
International,"Pilgrimage,Cultural,Nature,Adventure",86354,192289,"Couple,Friends","May,March,October",Bhutan
International,"Nature,Luxury,Beach,Relaxation",140019,371435,Couple,"November,April",Seychelles
Domestic,"Cultural,Nature",22827,55341,Friends,August,Ladakh
Domestic,"Nature,Adventure,Pilgrimage",9491,31066,"Solo,Couple","October,September",Rishikesh
International,"Adventure,Nature,Cultural,Pilgrimage",73287,183775,Solo,"May,March,November",Bhutan
Domestic,"Cultural,Pilgrimage",7873,20521,"Couple,Solo",January,Mathura Vrindavan
International,Beach,34377,94141,"Family,Couple",April,Sri Lanka
Domestic,"Beach,Relaxation",9545,32358,Couple,"January,February",Pondicherry
Domestic,"Adventure,Nature,Cultural",16134,36351,Solo,April,Ziro Valley
International,"Adventure,Beach",129074,295077,"Couple,Friends","July,September,October",South Africa
Domestic,"Cultural,Adventure,Nature",13096,40124,"Friends,Couple","November,December,January",Rann of Kutch
International,"Nature,Luxury,Cultural",70943,174030,Friends,"August,July",Singapore
International,"Nature,Beach",51730,139292,Couple,"March,February",Philippines
International,"Beach,Cultural",90055,201871,"Couple,Friends","May,June,October",Portugal
Domestic,Cultural,12792,36602,Couple,"March,December,January",Meghalaya
International,"Nature,Wildlife,Cultural",39521,101884,"Friends,Couple","March,January,April",Sri Lanka
International,Nature,183745,423860,Couple,"February,December,January",New Zealand
Domestic,Relaxation,13486,41963,Family,"November,September,March",Munnar
International,"Cultural,Luxury",74155,197355,Friends,"September,April",Turkey
International,Luxury,71074,188752,"Family,Couple","December,November",Dubai
Domestic,Adventure,9740,25105,"Friends,Couple","December,November",Hampi
Domestic,"Wildlife,Nature",19421,51594,Friends,"February,January",Kaziranga
International,"Beach,Adventure,Nature",141881,343045,"Couple,Family","March,January,February",Costa Rica
International,"Adventure,Pilgrimage",84366,188968,Friends,March,Jordan
Domestic,Pilgrimage,8796,30618,Couple,"October,November",Varanasi
International,"Beach,Luxury,Cultural,Adventure",76541,209974,Friends,"April,May,September",Turkey
International,"Adventure,Nature,Cultural",179467,418495,"Couple,Solo","December,July,June",Norway
Domestic,"Relaxation,Nature",10907,29610,"Couple,Friends","June,April,May",Ooty
Domestic,Adventure,15712,39699,Couple,November,Coorg
Domestic,"Cultural,Adventure,Nature",13250,35349,Couple,October,Ziro Valley
Domestic,"Adventure,Beach",32056,72459,"Couple,Family","February,December,October",Andaman Islands
International,"Cultural,Luxury",80604,201594,Couple,"February,March",Dubai
Domestic,Adventure,30945,75319,"Friends,Family",December,Andaman Islands
International,"Nature,Pilgrimage",17828,54598,Couple,October,Nepal
International,"Nature,Relaxation,Luxury,Beach",145608,381438,Couple,"April,October",Seychelles
International,"Adventure,Nature",185293,411747,Couple,June,Tanzania
International,"Cultural,Beach,Nature,Adventure",63943,146201,Couple,"July,June",Indonesia
International,"Beach,Wildlife,Adventure,Cultural",129852,307135,Family,September,South Africa
International,Wildlife,176544,378211,"Solo,Couple","January,November,February",New Zealand
Domestic,Cultural,14734,54730,"Solo,Friends","February,March",Goa
International,"Cultural,Adventure,Beach",73039,160472,Friends,"September,May",Morocco
Domestic,"Luxury,Cultural,Adventure",19535,83538,"Family,Couple","December,October,March",Rajasthan
Domestic,Adventure,19180,80978,Couple,March,Rajasthan
Domestic,"Nature,Adventure,Cultural",9415,24350,Solo,March,Hampi
International,"Adventure,Beach,Nature",161558,391394,Solo,March,Costa Rica
International,"Nature,Cultural,Adventure,Wildlife",118206,288741,Friends,"May,April",Peru
International,Cultural,81454,181783,Solo,"April,October",Czech Republic
Domestic,"Nature,Relaxation",15191,42484,Couple,"March,January,November",Munnar
International,"Adventure,Beach,Cultural",68577,158478,Friends,"March,April",Morocco
International,Beach,70965,198563,"Friends,Couple",May,Turkey
Domestic,"Nature,Relaxation",15220,42223,Couple,"January,October,February",Munnar
International,"Beach,Nature,Adventure,Cultural",62470,154563,Couple,"January,December,March",Philippines
International,"Beach,Cultural",104780,245110,"Family,Couple","February,November",Mexico
Domestic,"Adventure,Wildlife,Nature",14043,36696,"Family,Solo","January,February,October",Sundarbans
International,"Luxury,Cultural",58609,158630,Solo,"September,July,June",Bali
International,"Cultural,Relaxation,Luxury",130661,357240,Couple,"October,May",Paris
Domestic,"Beach,Cultural",15494,54134,Solo,November,Goa
Domestic,Adventure,15928,42201,"Friends,Couple","October,December",Manali
Domestic,"Adventure,Nature,Cultural",15839,42245,"Friends,Solo",December,Meghalaya
Domestic,"Adventure,Nature,Wildlife",13582,40749,"Friends,Solo",November,Sundarbans
International,"Beach,Adventure",124027,296970,Couple,"October,July",South Africa
International,"Cultural,Adventure,Beach",61497,152608,"Friends,Solo","November,March,October",Morocco
International,Adventure,63085,165918,"Solo,Couple","February,January",Philippines
International,"Nature,Cultural,Luxury,Beach",131574,307181,"Friends,Couple","October,June,May",Italy
International,"Beach,Nature,Adventure",52353,151863,"Couple,Friends","June,September",Indonesia
International,Relaxation,101191,211912,"Couple,Solo","June,May",Portugal
Domestic,"Relaxation,Adventure,Beach",35496,87578,Friends,January,Lakshadweep
Domestic,Nature,8869,25011,Friends,April,Chopta
International,"Nature,Cultural,Adventure",174310,425044,"Couple,Friends","July,June",Norway
Domestic,Cultural,13273,51291,"Couple,Solo",January,Goa
Domestic,"Wildlife,Nature",18523,58325,Friends,December,Kaziranga
Domestic,Relaxation,19215,63828,Family,"October,September",Kerala
Domestic,"Cultural,Relaxation",9249,23438,"Friends,Couple","December,March,October",Mysuru
International,"Cultural,Adventure,Beach",74610,192748,"Family,Couple",May,Turkey
International,"Beach,Nature,Adventure",55639,158204,Solo,"May,June,July",Indonesia
International,Cultural,165506,386609,"Friends,Solo","June,July,December",Norway
International,"Cultural,Adventure,Nature",36690,104896,"Friends,Couple",September,Vietnam
Domestic,Nature,16390,42575,Friends,"December,February,January",Meghalaya
International,"Nature,Beach",55110,137912,Couple,"June,July,April",Indonesia
Domestic,"Nature,Cultural",18653,51136,"Solo,Friends","July,June",Spiti Valley
Domestic,Nature,20514,57340,"Friends,Couple",November,Jim Corbett
Domestic,"Adventure,Beach,Nature",31361,70011,"Family,Couple",January,Andaman Islands
International,"Adventure,Pilgrimage",81231,175719,Family,March,Egypt
International,"Beach,Relaxation",88434,278448,"Friends,Couple",December,Maldives
International,"Nature,Cultural,Adventure",87807,198029,"Solo,Couple","April,March,May",Bhutan
Domestic,Cultural,7566,25971,Solo,February,Tirupati
Domestic,Beach,9958,28201,"Solo,Friends",November,Pondicherry
International,Adventure,63402,159813,Friends,"January,February,April",Philippines
International,"Beach,Cultural,Luxury",77952,200911,Couple,"September,April,May",Turkey
Domestic,Luxury,15717,48420,Family,"October,December",Jaipur
Domestic,Cultural,10024,31724,"Solo,Couple","January,December,October",Varanasi
International,Luxury,137530,371978,"Friends,Couple","April,October",Seychelles
International,Adventure,107793,278068,Family,"July,September,June",South Africa
Domestic,Cultural,7963,26955,"Couple,Solo","September,March",Tirupati
Domestic,Cultural,9053,30511,"Solo,Family",December,Varanasi
International,"Adventure,Nature",135445,342766,Friends,October,Kenya
Domestic,"Cultural,Relaxation",8613,27298,Couple,"February,January,October",Pondicherry
Domestic,Cultural,7699,24480,Friends,"November,December,October",Amritsar
Domestic,"Cultural,Adventure",15201,43064,"Couple,Friends","December,February,November",Rann of Kutch
Domestic,Adventure,29311,74104,Friends,February,Andaman Islands
International,"Adventure,Nature,Beach",53257,149676,Couple,"May,September",Indonesia
Domestic,Relaxation,13025,36029,"Family,Couple","February,December",Coorg
Domestic,"Cultural,Nature",13282,34447,Couple,"November,September,March",Darjeeling
International,"Cultural,Adventure,Nature",190995,411373,Friends,"June,August,July",Norway
Domestic,"Pilgrimage,Cultural",7571,19094,"Solo,Family",November,Mathura Vrindavan
Domestic,"Adventure,Nature",18057,62738,Couple,February,Jim Corbett
Domestic,Nature,15287,43363,Friends,October,Manali
International,"Adventure,Nature,Cultural",168282,417849,"Friends,Solo","December,June",Norway
International,"Luxury,Cultural,Relaxation",134122,339101,"Couple,Friends","May,September,April",Paris
